"supervision_total","blackcard_total","ecommerce_total","order_count","total_price","city_id","gender","refund_fee","last_buytime","churn"
"0","0","3190","1","3190","3205","2","0","1621905103","0"
"0","0","1075","2","1075","3601","2","0","1620414682","0"
"0","0","3000","1","3000","3301","2","0","1621818710","0"
"0","0","3500","2","3500","4419","2","0","1609214433","0"
"0","0","1899","1","1899","3702","2","0","1618272715","0"
"0","0","13142","5","13142","3707","2","0","1621559460","0"
"0","0","4099","1","4099","0101","2","0","1622743901","0"
"0","0","2788","2","2788","3601","1","0","1620267091","0"
"0","0","2166","2","2166","3717","1","0","1620706264","0"
"0","0","23296","3","23296","3202","1","0","1603940459","0"
"0","0","6299","1","6299","0201","1","0","1622513503","0"
"0","0","1508","1","1508","4403","1","0","1607382058","0"
"0","0","1899","1","1899","3306","1","0","1618272667","0"
"0","0","1","1","1","0101","1","0","1615770696","0"
"0","0","3398","2","3398","3310","1","0","1618269099","0"
"0","0","3207","2","3207","3708","1","0","1619730703","0"
"0","0","6366","5","6366","3301","1","0","1620418302","0"
"0","0","6919","2","6919","6301","2","0","1608696002","0"
"0","0","1396","3","1396","3201","2","0","1620774685","0"
"0","0","6163","3","6163","4501","2","0","1622679117","0"
"0","0","6298","2","6298","3202","2","0","1615245091","0"
"0","0","3172","2","3172","5001","2","0","1615781480","0"
"0","0","180","1","180","6101","2","0","1600815659","0"
"0","0","399","1","399","0201","2","0","1617642673","0"
"0","0","7367","2","7367","3202","2","0","1622412707","0"
"0","0","5174","3","5174","1401","2","0","1616375499","0"
"0","0","1348","2","1348","0201","2","0","1618251080","0"
"0","0","2691","2","2691","4403","1","0","1608508826","0"
"0","0","3000","2","3000","3412","1","0","1621811480","0"
"0","0","6189","2","6189","3415","1","0","1622596288","0"
"0","0","4098","2","4098","3204","1","0","1620353466","0"
"0","0","8900","1","8900","1301","1","0","1603998020","0"
"0","0","4998","2","4998","1506","1","0","1602709253","0"
"0","0","5999","2","5999","4203","1","0","1604538014","0"
"0","0","7224","2","7224","5101","2","0","1620580263","0"
"0","0","4499","1","4499","4201","2","0","1606935651","0"
"0","0","2780","1","2780","3203","2","0","1620360713","0"
"0","0","2115","1","2115","3401","2","0","1605240049","0"
"0","0","7208","2","7208","0201","2","0","1615921911","0"
"0","0","10895","3","10895","4403","2","0","1620432667","0"
"0","0","11598","2","11598","1201","1","0","1623377504","0"
"0","0","8099","1","8099","5101","1","0","1621365114","0"
